INSERT student(studentID,name,phone,email,dorm,score_1,score_2,score_3) VALUES
('10900204', 'ÉòÊÒÊØ', '17736291170', 'shenshishou@stu.kust.edu.cn', 'âùÔ°6612', 55, 57, 87),
('10900205', 'ºÍÏòËÙ', '15955708693', 'hexiangsu@stu.kust.edu.cn', 'ºãÔ°5753', 46, 42, 48),
('10900206', 'Æ¤×ùºô', '13009713389', 'pizuohu@stu.kust.edu.cn', 'ÌñÔ°6196', 80, 99, 74),
('10900207', 'ÕÅ¶÷Ğ©', '15142804332', 'zhangenxie@stu.kust.edu.cn', 'âùÔ°1727', 59, 69, 63),
('10900208', '±«³É¸Ï', '18075517533', 'baochenggan@stu.kust.edu.cn', 'ã½Ô°1142', 75, 69, 62),
('10900209', 'ËÕÇåÓÉ', '15153294565', 'suqingyou@stu.kust.edu.cn', 'Á«»ª8872', 73, 67, 89),
('10900210', 'Ô¬Ë³Óà', '18051974771', 'yuanshunyu@stu.kust.edu.cn', 'Á«»ª8179', 83, 53, 56),
('10900211', 'ÕÔË Éí', '18020991113', 'zhaochushen@stu.kust.edu.cn', 'ºãÔ°5868', 92, 71, 93),
('10900212', 'ÛºÅ®µÛ', '18882300741', 'fengnvdi@stu.kust.edu.cn', 'âùÔ°4668', 81, 95, 83),
('10900213', '·ë±»Í ', '13488036248', 'fengbeihui@stu.kust.edu.cn', 'ÌñÔ°7422', 43, 66, 64),
('10900214', '·½¼Ê·ò', '13629881833', 'fangjifu@stu.kust.edu.cn', 'âùÔ°9953', 92, 87, 72),
('10900215', 'ëøµ½ÂÉ', '18433596131', 'tengdaolv@stu.kust.edu.cn', 'Á«»ª5815', 88, 63, 56),
('10900216', 'ÀÖÈüÂò', '18470060370', 'lesaimai@stu.kust.edu.cn', 'ºãÔ°2668', 71, 55, 96),
('10900217', 'ÎéÂÉÔË', '18422166490', 'wulvyun@stu.kust.edu.cn', 'ºãÔ°9566', 48, 75, 89),
('10900218', 'ÖÜÏÂ¹Ö', '15397191914', 'zhouxiaguai@stu.kust.edu.cn', 'âùÔ°3537', 67, 93, 80),
('10900219', 'ÒüÍÁĞÔ', '13890521608', 'yintuxing@stu.kust.edu.cn', 'ÌñÔ°7647', 55, 62, 42),
('10900220', 'ÀÉ¹ÊÇà', '15229841647', 'langguqing@stu.kust.edu.cn', 'ÌñÔ°1346', 81, 96, 75),
('10900221', '½ªÖ®Îï', '17772354763', 'jiangzhiwu@stu.kust.edu.cn', 'âùÔ°4139', 54, 65, 90),
('10900222', 'Ó÷ÓëµÍ', '15546544813', 'yuyudi@stu.kust.edu.cn', 'ºãÔ°1826', 85, 54, 48),
('10900223', 'Áø°ïÊÆ', '18026123614', 'liubangshi@stu.kust.edu.cn', 'âùÔ°8335', 50, 96, 72),
('10900224', 'ÈÎÂÒÊô', '17705039392', 'renluanshu@stu.kust.edu.cn', 'Á«»ª1192', 97, 61, 69),
('10900225', 'ÕÔÑéÖÜ', '15997799581', 'zhaoyanzhou@stu.kust.edu.cn', 'ºãÔ°4453', 70, 68, 50),
('10900226', 'ÆëÒ½Îİ', '18660902917', 'qiyiwu@stu.kust.edu.cn', 'ã½Ô°8144', 41, 94, 67),
('10900227', 'ÅíµôÊ÷', '17744730095', 'pengdiaoshu@stu.kust.edu.cn', 'ºãÔ°5749', 73, 52, 87),
('10900228', '±«µ÷°²', '18087593760', 'baodiaoan@stu.kust.edu.cn', 'Á«»ª6287', 89, 93, 52),
('10900229', 'ÖÜÒ²ĞŞ', '13908941969', 'zhouyexiu@stu.kust.edu.cn', 'ºãÔ°7391', 81, 61, 77),
('10900230', '½ª¼ÌÒµ', '15378503599', 'jiangjiye@stu.kust.edu.cn', 'âùÔ°9869', 41, 63, 99),
('10900231', 'ÈÎËêÎÒ', '17788897557', 'rensuiwo@stu.kust.edu.cn', 'ÌñÔ°3671', 92, 45, 59),
('10900232', '³Â¹ÖÏÖ', '13451942105', 'chenguaixian@stu.kust.edu.cn', 'ºãÔ°8756', 65, 61, 96),
('10900233', 'ÒüÍ»ÈË', '18931798632', 'yinturen@stu.kust.edu.cn', 'ÌñÔ°8955', 75, 85, 87),
('10900234', 'Ë®ÏòÎÂ', '18623553172', 'shuixiangwen@stu.kust.edu.cn', 'âùÔ°4455', 59, 47, 53),
('10900235', 'º«ÏÂÏß', '18491622768', 'hanxiaxian@stu.kust.edu.cn', 'ã½Ô°5452', 91, 72, 74),
('10900236', 'Òü´ÎÁí', '18274352482', 'yinciling@stu.kust.edu.cn', 'ÌñÔ°7129', 99, 54, 51),
('10900237', 'Åí×ÊµÚ', '18265247666', 'pengzidi@stu.kust.edu.cn', 'ÌñÔ°3294', 73, 69, 87),
('10900238', 'ÛºÒÁÒ¡', '13767633960', 'fengyiyao@stu.kust.edu.cn', 'ã½Ô°8758', 78, 64, 69),
('10900239', 'ĞíÈ«Íê', '18490100397', 'xuquanwan@stu.kust.edu.cn', 'Á«»ª1443', 46, 40, 82),
('10900240', 'ÌÕ´°ÊÂ', '18216667438', 'taochuangshi@stu.kust.edu.cn', 'Á«»ª6472', 67, 90, 45),
('10900241', 'ÇØ·ç´æ', '13400377709', 'qinfengcun@stu.kust.edu.cn', 'ÌñÔ°7442', 53, 70, 52),
('10900242', '·ÑÆøÏµ', '15538020723', 'feiqixi@stu.kust.edu.cn', 'ÌñÔ°3138', 88, 43, 77),
('10900243', '¹ËÃ´Í»', '18756758431', 'gumetu@stu.kust.edu.cn', 'ã½Ô°7786', 41, 84, 84),
('10900244', '·¶ÑİÒª', '18804473971', 'fanyanyao@stu.kust.edu.cn', 'ÌñÔ°6149', 80, 49, 86),
('10900245', 'ÇØ¼ÊË¿', '15608258682', 'qinjisi@stu.kust.edu.cn', 'Á«»ª7811', 72, 77, 97),
('10900246', 'Ó÷±³Îü', '15013375066', 'yubeixi@stu.kust.edu.cn', 'âùÔ°5515', 50, 62, 63),
('10900247', '±åÏîÍ·', '18097391593', 'bianxiangtou@stu.kust.edu.cn', 'ã½Ô°9162', 45, 90, 53),
('10900248', 'ĞíÊ³Òì', '17687400473', 'xushiyi@stu.kust.edu.cn', 'âùÔ°1246', 63, 61, 63),
('10900249', 'Îâ¿ÆÃû', '15851318508', 'wukeming@stu.kust.edu.cn', 'ºãÔ°3681', 49, 94, 94),
('10900250', 'Ö£Ê¦Ö¤', '13625807680', 'zhengshizheng@stu.kust.edu.cn', 'ÌñÔ°4366', 41, 83, 72),
('10900301', '±ÏÑİÊÇ', '18972339667', 'biyanshi@stu.kust.edu.cn', 'Á«»ª1887', 63, 86, 65),
('10900302', 'Â³ÍÑÑÌ', '15585894273', 'lutuoyan@stu.kust.edu.cn', 'ºãÔ°3535', 50, 80, 48),
('10900303', 'ÌÀÕÂ¹Å', '13845480577', 'tangzhanggu@stu.kust.edu.cn', 'ã½Ô°7635', 70, 89, 42),
('10900304', 'ºÍÆÚÉË', '13748378950', 'heqishang@stu.kust.edu.cn', 'ºãÔ°3517', 43, 85, 70),
('10900305', 'ÚùÂğ·ğ', '13208696147', 'wumafu@stu.kust.edu.cn', 'ÌñÔ°9986', 86, 48, 46),
('10900306', '²·ĞÄÊ¶', '15268518094', 'boxinshi@stu.kust.edu.cn', 'ÌñÔ°1284', 70, 82, 87),
('10900307', 'ñ¼´©Ë­', '18739894162', 'douchuanshei@stu.kust.edu.cn', 'ÌñÔ°4288', 78, 93, 45),
('10900308', 'ÀÖË÷Ïß', '18685332120', 'lesuoxian@stu.kust.edu.cn', 'ÌñÔ°6224', 74, 47, 63),
('10900309', 'Óá¹©Ê½', '18530863058', 'yugongshi@stu.kust.edu.cn', 'ÌñÔ°3423', 65, 57, 58),
('10900310', '»Æ¹ØÇï', '15899757913', 'huangguanqiu@stu.kust.edu.cn', 'ã½Ô°2815', 60, 83, 45),
('10900311', 'ÌÕÉõ·Ñ', '13002158878', 'taoshenfei@stu.kust.edu.cn', 'ÌñÔ°4228', 75, 46, 61),
('10900312', 'À×ÎÅ½á', '15824683032', 'leiwenjie@stu.kust.edu.cn', 'ÌñÔ°5775', 47, 99, 79),
('10900313', 'ÛºÖ÷ËÍ', '15183143288', 'fengzhusong@stu.kust.edu.cn', 'âùÔ°9834', 58, 44, 84),
('10900314', 'ËÕÈıÊ¾', '13109883805', 'susanshi@stu.kust.edu.cn', 'ÌñÔ°6277', 71, 77, 88),
('10900315', 'Ó÷¿Ú²Í', '15232882970', 'yukoucan@stu.kust.edu.cn', 'Á«»ª4457', 90, 85, 56),
('10900316', 'ÚùÃØºº', '13000401029', 'wumihan@stu.kust.edu.cn', 'Á«»ª2573', 70, 79, 64),
('10900317', '½ªÖÜºÈ', '13743640491', 'jiangzhouhe@stu.kust.edu.cn', 'ã½Ô°2881', 72, 69, 72),
('10900318', 'Â³´÷Åª', '13949849144', 'ludainong@stu.kust.edu.cn', 'ºãÔ°2341', 56, 81, 60),
('10900319', 'ÄßÑÔÓ¡', '18541771149', 'niyanyin@stu.kust.edu.cn', 'ã½Ô°9879', 83, 73, 48),
('10900320', '»ª°µÀÕ', '13788857352', 'huaanlei@stu.kust.edu.cn', 'âùÔ°1486', 83, 96, 45),
('10900321', '»Æ²¿¶Î', '15872947930', 'huangbuduan@stu.kust.edu.cn', 'Á«»ª2482', 91, 95, 76),
('10900322', 'á¯Æ½Ë ', '18989708020', 'cenpingchu@stu.kust.edu.cn', 'âùÔ°7473', 86, 56, 97),
('10900323', 'Ô¬ÖÆµ½', '13924621375', 'yuanzhidao@stu.kust.edu.cn', 'ºãÔ°1622', 90, 97, 86),
('10900324', 'ÄÂÔË×¼', '18917286995', 'muyunzhun@stu.kust.edu.cn', 'ã½Ô°7694', 40, 73, 64),
('10900325', 'Óà¶¨»»', '18230780900', 'yudinghuan@stu.kust.edu.cn', 'Á«»ª7446', 84, 96, 57),
('10900326', 'ºÂĞ¡´©', '15013151940', 'haoxiaochuan@stu.kust.edu.cn', 'Á«»ª3683', 51, 50, 85),
('10900327', 'Ê©ÕÕÍâ', '15303919811', 'shizhaowai@stu.kust.edu.cn', 'Á«»ª5126', 78, 59, 99),
('10900328', 'Æİ¾ÖÖ§', '15115684971', 'qijuzhi@stu.kust.edu.cn', 'ÌñÔ°8726', 81, 63, 58),
('10900329', 'ÓÚÌ¨¶Ù', '17607633436', 'yutaidun@stu.kust.edu.cn', 'ÌñÔ°7484', 46, 93, 58),
('10900330', '°ØÕ µ¥', '18819440425', 'baihuadan@stu.kust.edu.cn', 'âùÔ°6596', 98, 91, 80),
('10900331', 'Ãçµê»Ó', '13025041858', 'miaodianhui@stu.kust.edu.cn', 'ã½Ô°6522', 76, 56, 68),
('10900332', '±åµ£ÖÁ', '13059463947', 'biandanzhi@stu.kust.edu.cn', 'âùÔ°4944', 59, 98, 87),
('10900333', 'Ğíµä²Î', '18313626062', 'xudiancan@stu.kust.edu.cn', 'âùÔ°3792', 58, 50, 51),
('10900334', '²ı·´ÆÕ', '18393879953', 'changfanpu@stu.kust.edu.cn', 'Á«»ª7893', 59, 79, 98),
('10900335', 'ÉòÇ¿½Ğ', '15885467155', 'shenqiangjiao@stu.kust.edu.cn', 'âùÔ°2386', 90, 67, 73),
('10900336', '¿µ¼¶ÅÉ', '13667320517', 'kangjipai@stu.kust.edu.cn', 'ã½Ô°2548', 84, 56, 60),
('10900337', 'ÓÚÎİÀö', '15320964108', 'yuwuli@stu.kust.edu.cn', 'ÌñÔ°8316', 55, 93, 68),
('10900338', 'ÚùÔõÇå', '13328658082', 'wuzenqing@stu.kust.edu.cn', 'ã½Ô°5641', 81, 95, 58),
('10900339', '½¯ºòÆÕ', '18540957499', 'jianghoupu@stu.kust.edu.cn', 'ã½Ô°3342', 47, 52, 46),
('10900340', 'Á®Æ÷Ò©', '18046340326', 'lianqiyao@stu.kust.edu.cn', 'ÌñÔ°5175', 73, 71, 98),
('10900341', 'Ğí°´°¸', '18174255372', 'xuanan@stu.kust.edu.cn', 'ã½Ô°1315', 48, 92, 78),
('10900342', 'ÃçÏàÂ³', '18997851219', 'miaoxianglu@stu.kust.edu.cn', 'ã½Ô°8572', 99, 64, 85),
('10900343', 'º«ÊÕÊõ', '18235106379', 'hanshoushu@stu.kust.edu.cn', 'âùÔ°3769', 71, 88, 42),
('10900344', 'ÎºÊìÒı', '18466997650', 'weishuyin@stu.kust.edu.cn', 'ã½Ô°6984', 97, 67, 54),
('10900345', 'ÎÀ¾ÓĞİ', '15021096652', 'weijuxiu@stu.kust.edu.cn', 'ã½Ô°7478', 54, 67, 94),
('10900346', 'Æ½ÑÀ¹Ù', '18683768097', 'pingyaguan@stu.kust.edu.cn', 'ã½Ô°6984', 64, 69, 58),
('10900347', 'ÕÅ´«¾É', '18825423202', 'zhangchuanjiu@stu.kust.edu.cn', 'Á«»ª9988', 50, 53, 74),
('10900348', 'ĞíÊ¿Èô', '15582552265', 'xushiruo@stu.kust.edu.cn', 'ÌñÔ°2672', 97, 54, 75),
('10900349', 'ÎéÅ£Èİ', '13969017787', 'wuniurong@stu.kust.edu.cn', 'Á«»ª2628', 68, 84, 69),
('10900350', '²ıÆßÊÍ', '15742788987', 'changqishi@stu.kust.edu.cn', 'ÌñÔ°8251', 57, 93, 66),
('10900401', 'Ğ»´íÃâ', '15767166556', 'xiecuomian@stu.kust.edu.cn', 'ÌñÔ°4448', 44, 68, 94),
('10900402', '·½¼ÆÊ½', '18202503774', 'fangjishi@stu.kust.edu.cn', 'ÌñÔ°6839', 75, 45, 92),
('10900403', '·ë¶¼Í³', '13471493960', 'fengdutong@stu.kust.edu.cn', 'Á«»ª4866', 70, 46, 82),
('10900404', 'ÔÆÁ¬ËÄ', '15550955419', 'yunliansi@stu.kust.edu.cn', 'âùÔ°1264', 48, 46, 80),
('10900405', 'ñ¼Óª×î', '13929903017', 'douyingzui@stu.kust.edu.cn', 'ã½Ô°6561', 79, 84, 60),
('10900406', 'á¯±ÊÌ«', '18474474833', 'cenbitai@stu.kust.edu.cn', 'Á«»ª2673', 85, 41, 91),
('10900407', '²·Æ÷¸÷', '18716729296', 'boqige@stu.kust.edu.cn', 'ÌñÔ°8219', 81, 59, 94),
('10900408', 'ÀÖÕóÀ×', '15384957229', 'lezhenlei@stu.kust.edu.cn', 'ã½Ô°3357', 81, 81, 49),
('10900409', 'ÄßºÁËÍ', '13042035534', 'nihaosong@stu.kust.edu.cn', 'ÌñÔ°7243', 72, 42, 86),
('10900410', 'Ëï´°Õä', '13050899812', 'sunchuangzhen@stu.kust.edu.cn', 'Á«»ª9524', 71, 51, 53),
('10900411', '·½»¤ÒÑ', '13839963622', 'fanghuyi@stu.kust.edu.cn', 'ã½Ô°4141', 88, 86, 64),
('10900412', '»ªÒª½Ì', '15049070808', 'huayaojiao@stu.kust.edu.cn', 'Á«»ª9418', 69, 59, 43),
('10900413', 'Ë®·çÁÒ', '18542807304', 'shuifenglie@stu.kust.edu.cn', 'ºãÔ°4349', 44, 90, 91),
('10900414', 'ÂÀ°ü¿Í', '15294999602', 'lvbaoke@stu.kust.edu.cn', 'ã½Ô°7257', 84, 80, 57),
('10900415', 'Æ¤Çø·â', '13994580188', 'piqufeng@stu.kust.edu.cn', 'ÌñÔ°2147', 65, 91, 92),
('10900416', 'ÈÎÄ³¹Ü', '15838171733', 'renmouguan@stu.kust.edu.cn', 'ã½Ô°6456', 86, 52, 55),
('10900417', '·ÑÇ°È¡', '18927230448', 'feiqianqu@stu.kust.edu.cn', 'ã½Ô°1911', 49, 43, 40),
('10900418', '¿µĞÅ³Ö', '18615879813', 'kangxinchi@stu.kust.edu.cn', 'ºãÔ°6913', 99, 41, 86),
('10900419', 'ÂŞ¿àÏ·', '17610030835', 'luokuxi@stu.kust.edu.cn', 'ã½Ô°4916', 78, 54, 77),
('10900420', 'ÆëÍûÍ£', '18109386040', 'qiwangting@stu.kust.edu.cn', 'âùÔ°5632', 61, 89, 43),
('10900421', 'Á®ÊÚÄÌ', '18676625768', 'lianshounai@stu.kust.edu.cn', 'âùÔ°2172', 63, 93, 70),
('10900422', 'Ğ»Ï·É½', '13412290038', 'xiexishan@stu.kust.edu.cn', 'âùÔ°4952', 63, 92, 47),
('10900423', 'ºÂÑéµÚ', '15016630062', 'haoyandi@stu.kust.edu.cn', 'ÌñÔ°4543', 54, 87, 56),
('10900424', 'ÒóÃÉ»¨', '13275398492', 'yinmenghua@stu.kust.edu.cn', 'ÌñÔ°2855', 45, 50, 49),
('10900425', 'ÖÜÊÒ¼Ò', '13658480781', 'zhoushijia@stu.kust.edu.cn', 'ÌñÔ°5818', 99, 89, 64),
('10900426', 'ÁøÍÅÉî', '15105516271', 'liutuanshen@stu.kust.edu.cn', 'âùÔ°8837', 71, 41, 91),
('10900427', '±«»»¹Ë', '13398943097', 'baohuangu@stu.kust.edu.cn', 'ã½Ô°8133', 93, 77, 84),
('10900428', 'ŞÉ´°Ì×', '18280586216', 'xichuangtao@stu.kust.edu.cn', 'ºãÔ°6436', 88, 88, 92),
('10900429', 'Ğ»Ğ´¹Û', '18449556251', 'xiexieguan@stu.kust.edu.cn', 'Á«»ª3438', 84, 79, 59),
('10900430', '¸ğÎó±´', '18380975284', 'gewubei@stu.kust.edu.cn', 'ºãÔ°3362', 72, 99, 45),
('10900431', '¿×°¡Äñ', '13846188417', 'konganiao@stu.kust.edu.cn', 'ÌñÔ°4598', 40, 66, 69),
('10900432', 'á¯½âÆå', '15177024442', 'cenjieqi@stu.kust.edu.cn', 'âùÔ°9166', 93, 70, 43),
('10900433', 'ÓÚ³ĞÀí', '15166032193', 'yuchengli@stu.kust.edu.cn', 'âùÔ°7551', 51, 90, 64),
('10900434', 'ÓÈ¾ŞÊ¹', '13789211987', 'youjushi@stu.kust.edu.cn', 'ã½Ô°9178', 64, 50, 90),
('10900435', '°²·¿³µ', '13264347955', 'anfangche@stu.kust.edu.cn', 'ã½Ô°8317', 49, 50, 70),
('10900436', 'Ö£ÇàÁ¦', '13101287350', 'zhengqingli@stu.kust.edu.cn', 'âùÔ°2655', 90, 60, 63),
('10900437', '¿µÀí±±', '15854651604', 'kanglibei@stu.kust.edu.cn', 'ÌñÔ°9257', 90, 46, 61),
('10900438', 'ËïÓÒÁ¿', '15399725175', 'sunyouliang@stu.kust.edu.cn', 'ã½Ô°5251', 72, 67, 69),
('10900439', 'ÓáµÍ¿Õ', '17788072824', 'yudikong@stu.kust.edu.cn', 'âùÔ°2788', 53, 64, 88),
('10900440', '¹ËÃÃÄÏ', '17747692887', 'gumeinan@stu.kust.edu.cn', 'ºãÔ°3316', 89, 89, 92),
('10900441', 'Ñ¦À×Òò', '18092380814', 'xueleiyin@stu.kust.edu.cn', 'ÌñÔ°5532', 47, 98, 48),
('10900442', '²ı¹²Êø', '18237423057', 'changgongshu@stu.kust.edu.cn', 'âùÔ°3174', 40, 85, 96),
('10900443', '·ÑÌ×½ğ', '15807306928', 'feitaojin@stu.kust.edu.cn', 'ã½Ô°1115', 80, 55, 69),
('10900444', 'ÌÀÈËÖ»', '15903324542', 'tangrenzhi@stu.kust.edu.cn', 'Á«»ª4566', 59, 96, 50),
('10900445', '×ŞÍùÃâ', '18504113784', 'zouwangmian@stu.kust.edu.cn', 'ã½Ô°8995', 56, 78, 72),
('10900446', 'ºÂÅµ¹¦', '15525134568', 'haonuogong@stu.kust.edu.cn', 'ºãÔ°8349', 98, 98, 55),
('10900447', 'ÄßÖ°ÖŞ', '18159381317', 'nizhizhou@stu.kust.edu.cn', 'âùÔ°9387', 80, 68, 57),
('10900448', 'ËïÏñÎ¶', '15677266287', 'sunxiangwei@stu.kust.edu.cn', 'Á«»ª7797', 40, 73, 97),
('10900449', 'Ö£°É»¨', '18784479784', 'zhengbahua@stu.kust.edu.cn', 'ºãÔ°9713', 80, 51, 61),
('10900450', 'ñÒÖÇÁ¼', '18174449435', 'chuzhiliang@stu.kust.edu.cn', 'ÌñÔ°8489', 50, 81, 43),
('10900501', 'Àî¸üÆ·', '13405135216', 'ligengpin@stu.kust.edu.cn', 'âùÔ°6994', 71, 74, 63),
('10900502', 'Á®ÌáÂô', '15618750853', 'liantimai@stu.kust.edu.cn', 'ã½Ô°7414', 42, 44, 87),
('10900503', 'Î¤Ö÷¹û', '13725803029', 'weizhuguo@stu.kust.edu.cn', 'ÌñÔ°3534', 95, 88, 49),
('10900504', 'Æ½Ï£Äá', '15544107065', 'pingxini@stu.kust.edu.cn', 'Á«»ª1719', 78, 63, 63),
('10900505', '±å¾Í½Ï', '18325109326', 'bianjiujiao@stu.kust.edu.cn', 'Á«»ª8341', 40, 47, 73),
